,user_id,time,matrix
70,1057789761170087936,2020-11-30,"[16, 9, 8, 5, 5, 4, 4, 4, 3, 3]"
75,1105896313290399744,2021-03-31,"[4, 4, 4, 2, 2, 1, 1, 1, 1, 1]"
76,1106864828700712960,2021-03-31,"[9, 8, 8, 7, 6, 5, 5, 5, 5, 5]"
77,1142604773214105600,2021-03-31,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 3]"
78,1159907644183916544,2021-02-28,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
79,1159907644183916544,2021-03-31,"[3, 3, 3, 2, 2, 2, 2, 2, 1, 1]"
80,1172624553757032448,2021-03-31,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
89,1207774163613687808,2020-10-31,"[4, 3, 3, 3, 3, 2, 2, 2, 2, 1]"
93,1207774163613687808,2021-02-28,"[19, 10, 9, 9, 8, 6, 6, 5, 5, 4]"
92,1207774163613687808,2021-01-31,"[9, 5, 5, 4, 3, 3, 2, 2, 2, 2]"
91,1207774163613687808,2020-12-31,"[3, 3, 3, 3, 3, 2, 2, 2, 2, 2]"
90,1207774163613687808,2020-11-30,"[4, 2, 2, 2, 2, 2, 1, 1, 1, 1]"
88,1207774163613687808,2020-09-30,"[5, 5, 5, 5, 4, 4, 4, 4, 3, 2]"
94,1207774163613687808,2021-03-31,"[8, 5, 5, 4, 4, 3, 3, 3, 3, 2]"
86,1207774163613687808,2020-07-31,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
81,1207774163613687808,2020-02-29,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
82,1207774163613687808,2020-03-31,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
87,1207774163613687808,2020-08-31,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
84,1207774163613687808,2020-05-31,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
85,1207774163613687808,2020-06-30,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
83,1207774163613687808,2020-04-30,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
95,1212406924500561920,2021-01-31,"[4, 3, 3, 2, 2, 2, 2, 2, 2, 2]"
96,1212406924500561920,2021-02-28,"[25, 23, 19, 11, 10, 10, 10, 9, 9, 9]"
97,1212406924500561920,2021-03-31,"[5, 4, 4, 4, 3, 3, 3, 2, 2, 2]"
98,1215012157076705280,2021-03-31,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
99,1219342703965532160,2021-03-31,"[4, 2, 2, 2, 2, 2, 1, 1, 1, 1]"
100,1230524311196381184,2021-03-31,"[4, 3, 3, 2, 2, 2, 2, 2, 2, 2]"
101,1240709089581322242,2021-02-28,"[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
102,1248510521084542977,2021-02-28,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
103,1252099572605714432,2021-03-31,"[5, 5, 4, 4, 3, 2, 2, 2, 2, 2]"
104,1290867266985361410,2021-02-28,"[17, 13, 10, 8, 8, 6, 6, 6, 5, 5]"
105,1290867266985361410,2021-03-31,"[13, 6, 5, 5, 4, 4, 3, 3, 3, 3]"
106,1303432704558592000,2021-03-31,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
108,1304164144728494081,2021-03-31,"[6, 6, 6, 6, 5, 5, 5, 5, 5, 5]"
107,1304164144728494081,2021-02-28,"[14, 13, 12, 11, 9, 7, 6, 6, 5, 5]"
109,1321005488155299840,2021-03-31,"[2, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
110,1321083774994731010,2021-02-28,"[3, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
111,1321083774994731010,2021-03-31,"[8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
112,1325497124339904512,2020-12-31,"[4, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
113,1325497124339904512,2021-01-31,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
114,1325497124339904512,2021-02-28,"[3, 3, 2, 2, 2, 2, 2, 1, 1, 1]"
115,1326980089360371713,2021-01-31,"[2, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
116,1326980089360371713,2021-02-28,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
117,1326980089360371713,2021-03-31,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
118,1331551288790695936,2021-03-31,"[3, 3, 3, 3, 2, 2, 2, 2, 2, 2]"
119,1331729521654059008,2021-02-28,"[28, 18, 16, 16, 14, 14, 11, 11, 10, 9]"
120,1331729521654059008,2021-03-31,"[8, 5, 5, 4, 4, 4, 4, 4, 4, 4]"
121,1342019964962652161,2021-03-31,"[6, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
122,1348780380657242112,2021-01-31,"[13, 9, 8, 7, 7, 6, 6, 5, 5, 4]"
123,1348780380657242112,2021-02-28,"[8, 5, 5, 5, 5, 5, 5, 4, 4, 3]"
124,1348780380657242112,2021-03-31,"[7, 3, 3, 2, 2, 2, 1, 1, 1, 1]"
125,1354968745865830400,2021-02-28,"[21, 13, 13, 13, 11, 11, 9, 9, 9, 9]"
126,1354968745865830400,2021-03-31,"[6, 5, 4, 4, 4, 4, 3, 3, 3, 3]"
